status,issue,title,validator comment 1,validator comment 2,validator comment 3,root cause 1,root cause 2,root cause 3,merged root cause,primary finding,proposed root cause group,,,,,
Satisfactory,findings-14,`earlyExit` is not set to true in `transferAllowanceEvent` case in `smartcontract_log_parser:GetTxInItem`,"early Exit, dust spam to DoS Bifrost",,"Missing earlyExit in transferAllowanceEvent case may allow multiple events, causing transaction inconsistencies.","https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L189,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L295",,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L244,https://github.com/code-423n4/2024-06-thorchain/blob/main/bifrost/pkg/chainclients/shared/evm/smartcontract_log_parser.go#L244,findings-14,"DUPE-smartcontract_log_parser-001,DUPE-smartcontract_log_parser-001,DUPE-smartcontract_log_parser-001",DUPE-smartcontract_log_parser-001,,,,
Satisfactory,findings-12,`batchTransferOutAndCallV5` Fails Due to Out of Funds,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L307-L328,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L307-L328,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-004",,,,,
Satisfactory,findings-3,The batchTransferOutAndCallV5 function can never handle batch operations with ETH,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-005",,,,,
Satisfactory,findings-7,Use of msg.value in _transferOutAndCallV5 loop breaks batchTransferOutAndCallV5 batch functionality.,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L399,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L399,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-006",,,,,
Satisfactory,validation-112,`THORChain_Router::batchTransferOutAndCallV5` can be abused and user can drain contract funds.,batch msg.value,,Batch call can revert due to msg.value in a loop. Draining is only possible if the contract has ETH balance,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L307-L341,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L307-L341,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-004",,,,,
Satisfactory,validation-122,Msg-value-loop,batch msg.value,,Batch call can revert due to msg.value in a loop. Draining is only possible if the contract has ETH balance,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L304-L389,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L304-L389,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,validation-137,batchTransferOutAndCallV5 cannot work correctly with ETH transfers,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L397-L403,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L397-L403",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002,DUPE-THORChain_Router-006",DUPE-THORChain_Router-006,,,,
Satisfactory,validation-138,batch transfers will fail cause msg.value is used instead of aggregationPayload.fromAmount,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L309-L311",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
Satisfactory,validation-146,Using msg.value inside a loop breaks function functionality,batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397,"https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L397,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-005",,,,,
Satisfactory,validation-150,"[M-03] Indirect use of `msg.value` in for loop, causing DoS of `THORChain_Router::batchTransferOutAndCallV5`",batch msg.value,,Batch call can revert due to msg.value in a loop,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,"https://github.com/code-423n4/2024-06-thorchain/blob/main/ethereum/contracts/THORChain_Router.sol#L310,https://github.com/code-423n4/2024-06-thorchain/blob/main/chain/ethereum/contracts/THORChain_Router.sol#L309-L321",findings-7,"DUPE-THORChain_Router-001,DUPE-THORChain_Router-002",,,,,
